BiolRepl;Community;drug_conc;Sample;experiment_number;plate_number;tech_repl;control;well;AUC;maxOD;finalOD
B1;C1;Zn;Sarela_B1_C1_Zn;Exp20;Plate1;TechRepl1;FALSE;A1;1.54435977684039;1.90760869565217;1.86413043478261
B1;C1;Zn;Sarela_B1_C1_Zn;Exp20;Plate2;TechRepl2;FALSE;A1;1.7168928033008;2.22993492407809;2.22993492407809
B2;C1;Zn;Sarela_B2_C1_Zn;Exp21;Plate3;TechRepl1;FALSE;A1;1.10714687254057;1.07806080525883;1.07806080525883
B2;C1;Zn;Sarela_B2_C1_Zn;Exp21;Plate4;TechRepl2;FALSE;A1;1.09128298072566;1.10513833992095;1.10513833992095
B3;C1;Zn;Sarela_B3_C1_Zn;Exp22;Plate3;TechRepl1;FALSE;A1;1.0854118993135;1.25637393767705;1.25637393767705
B3;C1;Zn;Sarela_B3_C1_Zn;Exp22;Plate4;TechRepl2;FALSE;A1;1.43375716450359;1.52448657187994;1.52448657187994
B1;C1;0;Sarela_B1_C1_0;Exp20;Plate1;TechRepl1;TRUE;A2;1;1.125;1
B1;C1;0;Sarela_B1_C1_0;Exp20;Plate2;TechRepl2;TRUE;A2;1;1.21041214750542;1
B2;C1;0;Sarela_B2_C1_0;Exp21;Plate3;TechRepl1;TRUE;A2;1;1;1
B2;C1;0;Sarela_B2_C1_0;Exp21;Plate4;TechRepl2;TRUE;A2;1;1;1
B3;C1;0;Sarela_B3_C1_0;Exp22;Plate3;TechRepl1;TRUE;A2;1;1;1
B3;C1;0;Sarela_B3_C1_0;Exp22;Plate4;TechRepl2;TRUE;A2;1;1;1
B1;C1;24;Sarela_B1_C1_24;Exp20;Plate1;TechRepl1;FALSE;A8;0.754252279221663;0.927536231884058;0.684782608695652
B1;C1;24;Sarela_B1_C1_24;Exp20;Plate2;TechRepl2;FALSE;A8;0.894231532174879;1.13882863340564;0.845986984815618
B2;C1;24;Sarela_B2_C1_24;Exp21;Plate3;TechRepl1;FALSE;A8;1.23104598433459;1.16516023007395;1.16516023007395
B2;C1;24;Sarela_B2_C1_24;Exp21;Plate4;TechRepl2;FALSE;A8;1.15618138092085;1.13201581027668;1.13201581027668
